NO_OF_CHLD,EDU_DESC,MRRY_DESC,ADDR_PRVC,OCPN_DESC,NO_OF_CHLD_prev,EDU_DESC_prev,MRRY_DESC_prev,ADDR_PRVC_prev,OCPN_DESC_prev
0.0,master's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee
0.0,vocational certificate/ diploma,married,สมุทรสาคร,industrial business employee,1.0,vocational certificate/ diploma,married,สมุทรสาคร,industrial business employee
0.0,bachelor's degree,married,กรุงเทพมหานคร,travelling agency both domestic and international,0.0,bachelor's degree,married,กรุงเทพมหานคร,commerce employee
0.0,bachelor's degree,single,ภูเก็ต,soldier,0.0,high school,single,ภูเก็ต,service business employee
0.0,master's degree,married,ลำปาง,teacher and executive in university or equivalent institution,0.0,master's degree,single,ลำปาง,teacher and executive in university or equivalent institution
0.0,bachelor's degree,single,ปทุมธานี,service business entrepreneur,0.0,high school,single,ปทุมธานี,commerce entrepreneur
,master's degree,single,สงขลา,"teacher and executive in kindergarten; primary, secondary, vocational school",0.0,bachelor's degree,single,สงขลา,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,less than high school,single,จันทบุรี,service business employee,0.0,less than high school,single,ตราด,commerce employee
1.0,others,married,ยะลา,government employee,1.0,others,married - registered,สงขลา,government employee
1.0,less than high school,single,เชียงราย,commerce employee,1.0,less than high school,single,เชียงราย,other freelancers
0.0,less than high school,married,สมุทรสาคร,unemployed,1.0,less than high school,married,สมุทรสาคร,"employee of company, store, office"
0.0,high school,married,กำแพงเพชร,freelance,0.0,high school,single,กำแพงเพชร,"employee of company, store, office"
0.0,vocational certificate,single,สงขลา,housewife/househusband,0.0,vocational certificate,single,สงขลา,freelance
0.0,bachelor's degree,single,นนทบุรี,unemployed,0.0,bachelor's degree,single,กรุงเทพมหานคร,housewife/househusband
0.0,master's degree,married - registered,สกลนคร,commerce employee,0.0,others,married,สกลนคร,commerce entrepreneur
0.0,,single,กรุงเทพมหานคร,commerce entrepreneur,0.0,,single,กรุงเทพมหานคร,commerce employee
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,single,กรุงเทพมหานคร,service business employee
0.0,vocational certificate/ diploma,married,ประจวบคีรีขันธ์,commerce entrepreneur,0.0,vocational certificate/ diploma,single,ประจวบคีรีขันธ์,commerce entrepreneur
0.0,high school,others,กรุงเทพมหานคร,doctor,0.0,high school,others,สมุทรสาคร,government employee
0.0,bachelor's degree,married,เชียงใหม่,nurse,0.0,bachelor's degree,single,เชียงใหม่,nurse
0.0,bachelor's degree,married - non registered,สงขลา,financial institution employee,0.0,bachelor's degree,married,สงขลา,financial institution employee
0.0,less than high school,single,กรุงเทพมหานคร,service business employee,0.0,less than high school,single,ปัตตานี,unemployed
0.0,bachelor's degree,married - registered,มหาสารคาม,commerce entrepreneur,0.0,bachelor's degree,married - registered,มหาสารคาม,commerce entrepreneur
0.0,high school,single,ปทุมธานี,service business entrepreneur,0.0,high school,single,ขอนแก่น,service business employee
0.0,,married,นนทบุรี,freelance,0.0,,,ปทุมธานี,freelance
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,married - non registered,กรุงเทพมหานคร,service business employee
0.0,high school,married,นครราชสีมา,freelance,0.0,high school,married,นครราชสีมา,freelance
0.0,bachelor's degree,single,พัทลุง,commerce entrepreneur,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee
0.0,,married,นนทบุรี,government employee,0.0,,,นนทบุรี,government employee
0.0,others,single,ศรีสะเกษ,service business employee,0.0,others,single,กรุงเทพมหานคร,service business employee
0.0,others,single,กรุงเทพมหานคร,freelance,0.0,others,single,กรุงเทพมหานคร,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,high school,single,ชลบุรี,industrial business employee,0.0,high school,single,ชลบุรี,service business employee
0.0,,single,กรุงเทพมหานคร,freelance,0.0,,,กรุงเทพมหานคร,unemployed
0.0,high school,married,สมุทรปราการ,industrial business employee,0.0,high school,married,ฉะเชิงเทรา,industrial business employee
0.0,less than high school,married,นครราชสีมา,service business entrepreneur,0.0,less than high school,married,นครราชสีมา,housewife/househusband
0.0,bachelor's degree,married,ยโสธร,industrial business employee,0.0,bachelor's degree,married,ชลบุรี,industrial business employee
0.0,vocational certificate/ diploma,married,ตราด,industrial business employee,0.0,vocational certificate/ diploma,single,ตราด,industrial business employee
0.0,less than high school,single,ฉะเชิงเทรา,industrial business employee,0.0,less than high school,single,ฉะเชิงเทรา,"student, university student"
0.0,less than high school,single,ชัยภูมิ,commerce entrepreneur,0.0,less than high school,single,ชัยภูมิ,commerce employee
0.0,high school,married,กำแพงเพชร,commerce entrepreneur,0.0,high school,single,นครราชสีมา,industrial business employee
0.0,,single,จันทบุรี,commerce employee,0.0,,,จันทบุรี,"student, university student"
0.0,bachelor's degree,single,นครศรีธรรมราช,commerce entrepreneur,0.0,others,single,นครศรีธรรมราช,commerce entrepreneur
0.0,bachelor's degree,married - non registered,ชลบุรี,commerce entrepreneur,0.0,vocational certificate/ diploma,single,ชลบุรี,industrial business employee
0.0,bachelor's degree,married,กรุงเทพมหานคร,unemployed,0.0,bachelor's degree,married,กรุงเทพมหานคร,housewife/househusband
0.0,bachelor's degree,married,กรุงเทพมหานคร,service business entrepreneur,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,service business entrepreneur
0.0,,single,ชัยภูมิ,commerce entrepreneur,0.0,,single,ชัยภูมิ,"student, university student"
0.0,others,single,สงขลา,commerce employee,0.0,others,single,ปทุมธานี,service business employee
0.0,less than high school,single,สมุทรปราการ,commerce entrepreneur,0.0,less than high school,single,นนทบุรี,"employee of company, store, office"
0.0,others,married,ปทุมธานี,service business employee,0.0,others,married,นนทบุรี,service business employee
0.0,bachelor's degree,married - registered,ภูเก็ต,service business entrepreneur,0.0,master's degree,single,ภูเก็ต,service business entrepreneur
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,,นนทบุรี,service business employee
0.0,high school,single,สมุทรปราการ,"student, university student",0.0,high school,single,สมุทรปราการ,"student, university student"
0.0,vocational certificate/ diploma,single,มหาสารคาม,industrial business employee,0.0,vocational certificate/ diploma,married - registered,ชลบุรี,industrial business employee
0.0,less than high school,single,ปราจีนบุรี,service business employee,0.0,less than high school,single,ปราจีนบุรี,commerce entrepreneur
0.0,bachelor's degree,single,กรุงเทพมหานคร,unemployed,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee
0.0,less than high school,married,กรุงเทพมหานคร,freelance,0.0,less than high school,married - registered,กรุงเทพมหานคร,service business entrepreneur
0.0,,single,เชียงใหม่,service business entrepreneur,0.0,,single,เชียงราย,service business entrepreneur
0.0,high school,single,อำนาจเจริญ,pharmacist,0.0,high school,single,อำนาจเจริญ,"student, university student"
0.0,high school,single,ฉะเชิงเทรา,industrial business employee,0.0,high school,single,สมุทรปราการ,industrial business employee
0.0,less than high school,married - registered,ภูเก็ต,service business employee,0.0,less than high school,single,ภูเก็ต,service business employee
1.0,less than high school,married,เพชรบุรี,commerce entrepreneur,1.0,less than high school,married,เพชรบุรี,housewife/househusband
0.0,bachelor's degree,single,สมุทรสาคร,nurse,0.0,high school,single,สมุทรสาคร,nurse
0.0,high school,single,กรุงเทพมหานคร,industrial business employee,0.0,high school,single,มหาสารคาม,"employee of company, store, office"
0.0,,single,สมุทรสาคร,freelance,0.0,,single,สมุทรสาคร,"student, university student"
0.0,high school,single,ตรัง,service business employee,0.0,high school,single,ตรัง,"student, university student"
0.0,others,single,สมุทรสาคร,police officer,0.0,others,single,สมุทรสาคร,industrial business employee
0.0,bachelor's degree,single,ประจวบคีรีขันธ์,government employee,0.0,bachelor's degree,single,สุรินทร์,government employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,freelance
0.0,bachelor's degree,married,สมุทรสาคร,industrial business employee,0.0,bachelor's degree,married,เพชรบุรี,industrial business employee
0.0,less than high school,married,สมุทรปราการ,industrial business employee,0.0,less than high school,married,นครสวรรค์,agricultural/ agro industry entrepreneur
0.0,high school,single,พิจิตร,service business entrepreneur,0.0,high school,single,นครสวรรค์,freelance
0.0,bachelor's degree,single,สระบุรี,service business employee,0.0,bachelor's degree,single,สระบุรี,freelance
0.0,high school,married,นครปฐม,housewife/househusband,0.0,high school,married,นครปฐม,housewife/househusband
0.0,less than high school,single,กรุงเทพมหานคร,freelance,0.0,less than high school,single,กรุงเทพมหานคร,housewife/househusband
0.0,,single,มหาสารคาม,freelance,0.0,,single,ขอนแก่น,freelance
0.0,,single,กรุงเทพมหานคร,service business employee,0.0,,single,กรุงเทพมหานคร,"student, university student"
0.0,vocational certificate/ diploma,others,ชลบุรี,unemployed,2.0,vocational certificate/ diploma,others,ชลบุรี,commerce entrepreneur
0.0,bachelor's degree,single,สงขลา,government employee,0.0,others,single,สงขลา,"student, university student"
0.0,others,single,กาฬสินธุ์,commerce employee,0.0,others,single,กาฬสินธุ์,"student, university student"
0.0,bachelor's degree,single,สมุทรปราการ,service business entrepreneur,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business entrepreneur
0.0,bachelor's degree,single,สุราษฎร์ธานี,government employee,0.0,bachelor's degree,single,สุราษฎร์ธานี,government employee
0.0,others,single,สมุทรปราการ,"student, university student",0.0,others,single,ปทุมธานี,"student, university student"
0.0,high school,single,จันทบุรี,freelance,0.0,high school,single,ชลบุรี,commerce employee
0.0,high school,single,กรุงเทพมหานคร,commerce entrepreneur,0.0,high school,single,กรุงเทพมหานคร,service business entrepreneur
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,freelance
0.0,vocational certificate/ diploma,married,สุราษฎร์ธานี,service business employee,0.0,vocational certificate/ diploma,single,สุราษฎร์ธานี,"student, university student"
0.0,bachelor's degree,single,นนทบุรี,commerce employee,0.0,bachelor's degree,single,นนทบุรี,service business employee
0.0,others,single,สระบุรี,industrial business employee,0.0,others,single,เชียงราย,industrial business employee
1.0,less than high school,married,อำนาจเจริญ,housewife/househusband,1.0,less than high school,married,อำนาจเจริญ,freelance
0.0,high school,single,ร้อยเอ็ด,service business employee,0.0,high school,single,ร้อยเอ็ด,"employee of company, store, office"
0.0,bachelor's degree,single,กรุงเทพมหานคร,businessman,0.0,high school,single,กรุงเทพมหานคร,"student, university student"
0.0,others,married,นครศรีธรรมราช,agricultural/ agro industry entrepreneur,0.0,others,single,ภูเก็ต,others
0.0,others,married,ขอนแก่น,commerce entrepreneur,0.0,others,married - registered,ขอนแก่น,commerce entrepreneur
0.0,high school,single,มหาสารคาม,commerce entrepreneur,0.0,high school,single,สมุทรปราการ,"student, university student"
0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,unemployed,0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,commerce entrepreneur
0.0,high school,single,เชียงใหม่,industrial business employee,0.0,high school,single,อุตรดิตถ์,industrial business employee
0.0,others,single,กรุงเทพมหานคร,service business employee,0.0,others,single,กรุงเทพมหานคร,"student, university student"
0.0,high school,married,กรุงเทพมหานคร,industrial business employee,0.0,high school,single,กำแพงเพชร,"employee of company, store, office"
0.0,bachelor's degree,single,สมุทรปราการ,unemployed,0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee
0.0,high school,single,ชลบุรี,service business entrepreneur,0.0,high school,single,นครพนม,service business entrepreneur
2.0,doctorate's degree,married - registered,พังงา,government employee,2.0,master's degree,married,พังงา,unemployed
0.0,master's degree,single,เชียงใหม่,service business entrepreneur,0.0,master's degree,single,เชียงใหม่,service business entrepreneur
0.0,,single,ปทุมธานี,commerce employee,0.0,,single,พระนครศรีอยุธยา,commerce employee
0.0,,single,เพชรบุรี,industrial business employee,0.0,,,ยะลา,freelance
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business entrepreneur,0.0,bachelor's degree,others,กรุงเทพมหานคร,entrepreneur/ owner/ company director/ partner
0.0,less than high school,single,ปทุมธานี,service business entrepreneur,0.0,less than high school,single,กรุงเทพมหานคร,service business entrepreneur
0.0,,single,สมุทรปราการ,commerce employee,0.0,,single,สมุทรปราการ,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"teacher and executive in kindergarten; primary, secondary, vocational school"
0.0,,single,นนทบุรี,industrial business employee,0.0,,single,สมุทรปราการ,industrial business employee
0.0,bachelor's degree,single,อุดรธานี,service business entrepreneur,0.0,bachelor's degree,married,อุดรธานี,service business entrepreneur
0.0,others,single,นครราชสีมา,commerce employee,0.0,others,single,พระนครศรีอยุธยา,industrial business employee
0.0,vocational certificate/ diploma,married - registered,สระบุรี,industrial business employee,0.0,others,married - registered,สระบุรี,industrial business employee
1.0,bachelor's degree,single,พระนครศรีอยุธยา,service business entrepreneur,1.0,bachelor's degree,married - registered,พระนครศรีอยุธยา,commerce entrepreneur
0.0,bachelor's degree,married,กรุงเทพมหานคร,freelance,0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,commerce employee
0.0,less than high school,single,กรุงเทพมหานคร,service business employee,0.0,less than high school,single,กรุงเทพมหานคร,freelance
0.0,high school,married,นนทบุรี,commerce entrepreneur,0.0,high school,married,เพชรบูรณ์,unemployed
0.0,less than high school,married,สุพรรณบุรี,unemployed,0.0,less than high school,married,ปทุมธานี,unemployed
0.0,vocational certificate/ diploma,single,สุราษฎร์ธานี,service business entrepreneur,0.0,vocational certificate/ diploma,single,ภูเก็ต,"employee of company, store, office"
0.0,others,single,เชียงใหม่,"student, university student",0.0,others,single,แพร่,commerce employee
0.0,bachelor's degree,married,อ่างทอง,freelance,0.0,bachelor's degree,married,สมุทรปราการ,service business employee
0.0,,married,ราชบุรี,freelance,0.0,,,ราชบุรี,housewife/househusband
0.0,others,single,ชลบุรี,industrial business employee,0.0,others,married - registered,ชลบุรี,industrial business employee
0.0,others,married - non registered,กรุงเทพมหานคร,service business entrepreneur,0.0,,single,กรุงเทพมหานคร,service business entrepreneur
0.0,high school,single,สระแก้ว,commerce entrepreneur,0.0,high school,single,กรุงเทพมหานคร,commerce entrepreneur
0.0,,single,นราธิวาส,freelance,0.0,,,นราธิวาส,unemployed
0.0,high school,single,ระยอง,industrial business employee,0.0,high school,single,เพชรบูรณ์,industrial business employee
2.0,less than high school,divorce,กำแพงเพชร,commerce entrepreneur,2.0,less than high school,divorce,ปทุมธานี,commerce entrepreneur
1.0,high school,married,สมุทรปราการ,housewife/househusband,1.0,high school,married,สมุทรปราการ,unemployed
1.0,others,married - registered,สมุทรปราการ,service business entrepreneur,1.0,high school,married,นครศรีธรรมราช,freelance
0.0,,single,ปทุมธานี,industrial business employee,0.0,,,นครราชสีมา,"student, university student"
0.0,high school,single,ภูเก็ต,service business employee,0.0,high school,single,สุราษฎร์ธานี,commerce employee
0.0,bachelor's degree,single,อุตรดิตถ์,service business employee,0.0,bachelor's degree,single,อุตรดิตถ์,commerce employee
0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,commerce employee
0.0,others,single,กรุงเทพมหานคร,commerce employee,0.0,others,single,กรุงเทพมหานคร,"student, university student"
0.0,,single,กรุงเทพมหานคร,industrial business employee,0.0,,single,ชลบุรี,industrial business employee
0.0,bachelor's degree,married - registered,อุดรธานี,commerce entrepreneur,0.0,bachelor's degree,single,อุดรธานี,commerce employee
0.0,vocational certificate/ diploma,single,นครนายก,freelance,0.0,vocational certificate/ diploma,single,นครนายก,unemployed
0.0,vocational certificate,married,มหาสารคาม,commerce employee,0.0,vocational certificate,married,มหาสารคาม,agricultural/ agro industry entrepreneur
0.0,bachelor's degree,married,กรุงเทพมหานคร,financial institution employee,0.0,bachelor's degree,married - registered,ปทุมธานี,financial institution employee
0.0,high school,single,ยะลา,commerce employee,0.0,high school,single,ยะลา,freelance
0.0,bachelor's degree,single,เชียงใหม่,"student, university student",0.0,bachelor's degree,single,เชียงใหม่,"student, university student"
0.0,bachelor's degree,married,พระนครศรีอยุธยา,industrial business employee,0.0,bachelor's degree,married,พระนครศรีอยุธยา,industrial business employee
0.0,others,single,ระยอง,industrial business employee,0.0,others,others,ร้อยเอ็ด,"student, university student"
1.0,high school,married,สมุทรปราการ,freelance,1.0,high school,married,สมุทรปราการ,unemployed
0.0,high school,single,พระนครศรีอยุธยา,service business employee,0.0,high school,single,พระนครศรีอยุธยา,industrial business employee
0.0,vocational certificate/ diploma,single,ปทุมธานี,service business employee,0.0,vocational certificate/ diploma,single,สมุทรปราการ,service business employee
0.0,bachelor's degree,single,พิษณุโลก,industrial business employee,0.0,bachelor's degree,single,พิษณุโลก,commerce employee
0.0,less than high school,married,นครราชสีมา,industrial business employee,0.0,less than high school,married,นครราชสีมา,service business employee
0.0,others,married - registered,สมุทรปราการ,industrial business employee,0.0,others,married - registered,พระนครศรีอยุธยา,industrial business employee
3.0,others,married,นครสวรรค์,service business entrepreneur,3.0,others,others,นครสวรรค์,commerce entrepreneur
0.0,high school,married,ปทุมธานี,housewife/househusband,0.0,high school,married,ปทุมธานี,service business entrepreneur
0.0,others,single,นนทบุรี,service business employee,0.0,others,single,นนทบุรี,"student, university student"
1.0,high school,single,สุพรรณบุรี,commerce employee,1.0,high school,married,สุพรรณบุรี,commerce employee
0.0,bachelor's degree,single,กระบี่,agricultural/ agro industry entrepreneur,0.0,bachelor's degree,single,กระบี่,service business employee
0.0,bachelor's degree,single,พิษณุโลก,service business employee,0.0,bachelor's degree,single,พิษณุโลก,service business employee
0.0,bachelor's degree,single,ปทุมธานี,commerce entrepreneur,0.0,bachelor's degree,single,ร้อยเอ็ด,commerce entrepreneur
0.0,master's degree,married - registered,สิงห์บุรี,industrial business employee,0.0,master's degree,married,สิงห์บุรี,industrial business employee
0.0,,single,สงขลา,"student, university student",0.0,,single,สุราษฎร์ธานี,"student, university student"
0.0,,single,ตรัง,service business employee,0.0,,single,ตรัง,unemployed
0.0,bachelor's degree,single,สุโขทัย,government employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"designer, painter, photographer and other artists"
0.0,bachelor's degree,single,กรุงเทพมหานคร,industrial business employee,0.0,bachelor's degree,married - registered,กรุงเทพมหานคร,industrial business employee
0.0,,single,อุทัยธานี,industrial business employee,0.0,,single,นนทบุรี,service business employee
0.0,high school,single,อุดรธานี,freelance,0.0,high school,single,อุดรธานี,commerce entrepreneur
0.0,others,single,นนทบุรี,commerce employee,0.0,others,single,นนทบุรี,"student, university student"
0.0,bachelor's degree,married - registered,นครนายก,industrial business employee,0.0,bachelor's degree,married,นครนายก,industrial business employee
0.0,high school,single,เชียงใหม่,industrial business employee,0.0,high school,widow,ประจวบคีรีขันธ์,industrial business employee
0.0,high school,single,ตราด,agricultural/ agro industry entrepreneur,0.0,high school,single,ตราด,agricultural/ agro industry entrepreneur
0.0,,single,สุพรรณบุรี,industrial business employee,0.0,,single,สุพรรณบุรี,commerce employee
0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,industrial business employee,0.0,vocational certificate/ diploma,single,สมุทรปราการ,industrial business employee
0.0,high school,single,สุรินทร์,industrial business employee,0.0,high school,single,สุรินทร์,"student, university student"
0.0,others,single,เพชรบุรี,service business employee,0.0,others,single,เพชรบุรี,industrial business employee
0.0,bachelor's degree,single,ชลบุรี,pharmacist,0.0,bachelor's degree,single,ชลบุรี,"student, university student"
0.0,bachelor's degree,married - registered,นครราชสีมา,commerce entrepreneur,0.0,bachelor's degree,single,นครราชสีมา,industrial business employee
0.0,bachelor's degree,married,ขอนแก่น,service business entrepreneur,0.0,master's degree,married,กาฬสินธุ์,freelance
0.0,high school,single,ปทุมธานี,industrial business employee,0.0,vocational certificate/ diploma,single,หนองคาย,industrial business employee
0.0,high school,married,สระบุรี,agricultural/ agro industry entrepreneur,0.0,high school,others,สระบุรี,commerce employee
0.0,high school,single,บึงกาฬ,housewife/househusband,0.0,high school,single,ระยอง,commerce employee
0.0,less than high school,single,นครราชสีมา,industrial business employee,0.0,less than high school,single,นครราชสีมา,freelance
0.0,others,married,มหาสารคาม,commerce entrepreneur,0.0,others,single,มหาสารคาม,service business employee
0.0,high school,single,ภูเก็ต,freelance,0.0,high school,single,สงขลา,industrial business employee
0.0,,single,กรุงเทพมหานคร,commerce employee,0.0,,,กรุงเทพมหานคร,commerce entrepreneur
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,freelance
0.0,,single,นราธิวาส,freelance,0.0,,single,นราธิวาส,unemployed
0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee,0.0,high school,single,กรุงเทพมหานคร,service business employee
0.0,bachelor's degree,divorce,นครสวรรค์,police officer,0.0,others,single,นครสวรรค์,police officer
0.0,less than high school,single,ภูเก็ต,freelance,0.0,less than high school,single,ภูเก็ต,"student, university student"
0.0,master's degree,single,อุดรธานี,service business entrepreneur,0.0,bachelor's degree,married - registered,อุดรธานี,service business employee
0.0,high school,single,ปทุมธานี,commerce entrepreneur,0.0,high school,single,ปทุมธานี,industrial business employee
0.0,,married,กรุงเทพมหานคร,commerce employee,0.0,,single,เพชรบุรี,commerce entrepreneur
0.0,master's degree,married - registered,ปทุมธานี,commercial bank employee,0.0,master's degree,married - registered,นนทบุรี,commercial bank employee
0.0,bachelor's degree,single,ภูเก็ต,commerce entrepreneur,0.0,bachelor's degree,single,เชียงใหม่,commerce entrepreneur
0.0,high school,single,กรุงเทพมหานคร,freelance,0.0,high school,single,กรุงเทพมหานคร,other freelancers
0.0,bachelor's degree,married - registered,เชียงราย,service business entrepreneur,0.0,bachelor's degree,married,เชียงราย,trade of antiques under control of sale by auction and trade of antiques act b.e.2474 (1931)
0.0,high school,single,มุกดาหาร,government employee,0.0,high school,single,อุบลราชธานี,government employee
0.0,bachelor's degree,married,กาฬสินธุ์,commerce entrepreneur,1.0,bachelor's degree,married,กาฬสินธุ์,commerce entrepreneur
0.0,others,single,ยโสธร,commerce employee,0.0,others,others,ยโสธร,"student, university student"
0.0,bachelor's degree,single,น่าน,commerce entrepreneur,0.0,bachelor's degree,single,น่าน,"student, university student"
0.0,,single,กรุงเทพมหานคร,soldier,0.0,,single,ประจวบคีรีขันธ์,soldier
0.0,bachelor's degree,single,มหาสารคาม,service business employee,0.0,,single,มหาสารคาม,"student, university student"
0.0,vocational certificate/ diploma,widow,กรุงเทพมหานคร,service business entrepreneur,0.0,vocational certificate/ diploma,widow,นนทบุรี,service business entrepreneur
0.0,bachelor's degree,single,อุบลราชธานี,service business employee,0.0,bachelor's degree,married - registered,อุบลราชธานี,service business employee
1.0,doctorate's degree,married,กรุงเทพมหานคร,doctor,1.0,doctorate's degree,married - registered,กรุงเทพมหานคร,doctor
0.0,others,single,กรุงเทพมหานคร,commerce employee,0.0,others,single,กรุงเทพมหานคร,"student, university student"
0.0,,single,นครราชสีมา,"student, university student",0.0,,,นครราชสีมา,"student, university student"
0.0,others,married,ชลบุรี,industrial business employee,0.0,others,married,เชียงราย,industrial business employee
0.0,others,married - registered,ปทุมธานี,commerce employee,0.0,less than high school,married,ปทุมธานี,industrial business employee
0.0,others,single,ปทุมธานี,industrial business employee,0.0,others,single,พระนครศรีอยุธยา,commerce employee
0.0,,single,นนทบุรี,commerce employee,0.0,,single,สมุทรสาคร,"student, university student"
0.0,,single,ตรัง,agricultural/ agro industry entrepreneur,0.0,,,ตรัง,"student, university student"
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,single,นครพนม,freelance
1.0,bachelor's degree,widow,ชุมพร,agricultural/ agro industry entrepreneur,1.0,bachelor's degree,widow,ชุมพร,commerce entrepreneur
0.0,high school,single,นครราชสีมา,service business employee,0.0,high school,single,สมุทรสาคร,industrial business employee
0.0,others,single,สมุทรปราการ,commerce employee,0.0,others,single,สุพรรณบุรี,"student, university student"
0.0,bachelor's degree,married,นครปฐม,lawyer and legal practitioner,0.0,bachelor's degree,married,นครปฐม,service business entrepreneur
0.0,bachelor's degree,single,ชลบุรี,industrial business employee,0.0,bachelor's degree,single,ชลบุรี,commerce entrepreneur
1.0,bachelor's degree,married,ขอนแก่น,commerce employee,1.0,master's degree,married,ขอนแก่น,industrial business employee
0.0,vocational certificate,single,ปราจีนบุรี,industrial business employee,0.0,vocational certificate,single,สระแก้ว,service business employee
0.0,bachelor's degree,single,กรุงเทพมหานคร,commerce employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,commercial bank employee
0.0,less than high school,single,กรุงเทพมหานคร,industrial business employee,0.0,less than high school,,สมุทรปราการ,industrial business employee
0.0,high school,single,ชลบุรี,commerce employee,0.0,high school,single,ตาก,"employee of company, store, office"
0.0,master's degree,single,ตรัง,doctor,0.0,bachelor's degree,single,ตรัง,doctor
0.0,high school,married,นนทบุรี,service business entrepreneur,0.0,high school,married,กรุงเทพมหานคร,"employee of company, store, office"
0.0,vocational certificate/ diploma,married,สมุทรปราการ,commerce employee,0.0,vocational certificate/ diploma,single,กรุงเทพมหานคร,commerce employee
1.0,less than high school,married - registered,สมุทรสาคร,industrial business employee,0.0,less than high school,married - registered,สมุทรสาคร,industrial business employee
0.0,others,married,ฉะเชิงเทรา,industrial business employee,0.0,others,others,ฉะเชิงเทรา,industrial business employee
0.0,bachelor's degree,married,ชลบุรี,service business employee,0.0,bachelor's degree,married,ชลบุรี,industrial business employee
0.0,others,single,นครปฐม,service business employee,0.0,others,others,นครปฐม,service business employee
1.0,bachelor's degree,single,กรุงเทพมหานคร,freelance,1.0,bachelor's degree,married,ปทุมธานี,commerce entrepreneur
0.0,bachelor's degree,single,สมุทรปราการ,industrial business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,"employee of company, store, office"
1.0,less than high school,single,เพชรบูรณ์,unemployed,1.0,less than high school,single,เพชรบูรณ์,housewife/househusband
0.0,others,single,กรุงเทพมหานคร,commerce employee,0.0,others,single,กรุงเทพมหานคร,"student, university student"
0.0,less than high school,married,ศรีสะเกษ,agricultural/ agro industry entrepreneur,2.0,less than high school,married,ศรีสะเกษ,freelance
0.0,bachelor's degree,divorce,สมุทรสาคร,commerce employee,0.0,bachelor's degree,married - registered,สมุทรสาคร,commerce employee
0.0,others,married - registered,กรุงเทพมหานคร,service business employee,0.0,bachelor's degree,single,นครปฐม,"student, university student"
0.0,bachelor's degree,single,เชียงราย,service business employee,0.0,bachelor's degree,single,กรุงเทพมหานคร,service business employee
0.0,vocational certificate/ diploma,single,เพชรบูรณ์,unemployed,0.0,vocational certificate/ diploma,single,สมุทรปราการ,industrial business employee
0.0,others,married,กรุงเทพมหานคร,industrial business employee,0.0,others,others,กรุงเทพมหานคร,industrial business employee
0.0,bachelor's degree,married - registered,ชลบุรี,industrial business employee,0.0,high school,married,ชลบุรี,industrial business employee
0.0,high school,single,กรุงเทพมหานคร,freelance,0.0,high school,single,นนทบุรี,commerce employee
0.0,,single,ฉะเชิงเทรา,industrial business employee,0.0,,single,พระนครศรีอยุธยา,service business employee
0.0,others,single,ปทุมธานี,service business employee,0.0,others,single,สงขลา,unemployed
0.0,master's degree,single,ปทุมธานี,service business employee,0.0,others,single,ปทุมธานี,service business employee
0.0,high school,married,ราชบุรี,commerce employee,0.0,high school,single,กรุงเทพมหานคร,"employee of company, store, office"
0.0,others,single,เพชรบูรณ์,commerce employee,0.0,others,others,พิจิตร,industrial business employee
0.0,high school,single,นครราชสีมา,commerce employee,0.0,high school,single,นครราชสีมา,agricultural/ agro industry entrepreneur
0.0,,single,กรุงเทพมหานคร,commerce employee,0.0,,single,เชียงใหม่,commerce employee
0.0,others,married,ปทุมธานี,government employee,0.0,others,married - registered,ปทุมธานี,service business employee
